"scenario","run","seed","file_id","n","cycles","cycle_len","warm_len","Ne_good","Ne_bad","m_connected","m_isolated","seq_len","mu","samples_per_cell_present","samples_per_cell_timeseries","ts_step","do_gl_timeseries","do_pi"
"1peak",1,1111,"out_1peak_run01",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",2,2111,"out_1peak_run02",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",3,3111,"out_1peak_run03",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",4,4111,"out_1peak_run04",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",5,5111,"out_1peak_run05",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",6,6111,"out_1peak_run06",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",7,7111,"out_1peak_run07",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",8,8111,"out_1peak_run08",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",9,9111,"out_1peak_run09",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",10,10111,"out_1peak_run10",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",11,11111,"out_1peak_run11",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",12,12111,"out_1peak_run12",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",13,13111,"out_1peak_run13",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",14,14111,"out_1peak_run14",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",15,15111,"out_1peak_run15",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",16,16111,"out_1peak_run16",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",17,17111,"out_1peak_run17",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",18,18111,"out_1peak_run18",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",19,19111,"out_1peak_run19",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",20,20111,"out_1peak_run20",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",21,1001,"out_1peak_run21",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",22,2001,"out_1peak_run22",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",23,3001,"out_1peak_run23",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",24,4001,"out_1peak_run24",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",25,5001,"out_1peak_run25",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",26,6001,"out_1peak_run26",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",27,7001,"out_1peak_run27",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",28,8001,"out_1peak_run28",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
"1peak",29,9001,"out_1peak_run29",13,5,100000,20000,500,50,0.005,0.0005,2000000.0,1e-08,20,20,5000,"FALSE","TRUE"
